PeakID	ATF3	AP-1	MITF(bHLH)	PB0058.1_Sfpi1_1	IRF1(IRF)	LXR-HALF	TEF	LXRE(NR),DR4
Merged-chr1-9545299-2	0	0	0	0	0	0	1	0
Merged-chr1-168432474-2	1	0	1	0	0	1	0	0
Merged-chr8-73353627-2	0	0	1	1	0	0	0	0
Merged-chr13-12395169-2	0	1	0	1	0	0	0	0
Merged-chr1-165634604-2	0	0	1	0	0	1	0	0
Merged-chr1-23256156-2	0	1	1	1	0	0	0	0
Merged-chr13-92611018-2	0	0	0	1	0	0	0	0
Merged-chr8-76902107-2	0	0	1	1	0	1	0	0
Merged-chr2-154548922-2	0	1	1	0	0	1	0	0
Merged-chr7-65644794-2	0	0	0	0	0	1	0	0
Merged-chr4-148160143-2	0	0	0	0	0	0	1	0
Merged-chr5-140649147-2	0	0	0	0	0	0	0	0
Merged-chr5-72219799-2	0	0	1	1	0	1	0	0
Merged-chr8-121652978-2	0	0	0	0	0	0	0	0
Merged-chr13-62624193-2	0	0	1	0	0	0	0	0
Merged-chr17-56935587-2	0	0	1	0	0	0	0	0
Merged-chr19-6921980-2	0	0	0	0	0	0	1	0
Merged-chr4-107066926-2	0	0	0	0	0	0	1	0
Merged-chr5-43355395-2	1	0	1	1	1	0	0	0
Merged-chr17-17448850-2	0	1	1	1	1	1	0	0
Merged-chr4-6222216-2	0	1	1	1	0	1	0	1
Merged-chr11-19019015-2	0	0	0	0	0	0	0	0
Merged-chr9-95682796-2	0	1	1	1	0	1	0	0
Merged-chr9-80164978-2	0	0	0	0	0	1	0	0
Merged-chr7-44305221-2	0	0	1	0	0	0	1	0
Merged-chr1-186117339-2	0	1	1	1	0	1	0	1
Merged-chr13-112800766-2	0	0	0	0	0	0	1	0
Merged-chr1-181860849-2	0	1	1	1	1	1	0	0
Merged-chr2-60855211-2	0	1	1	1	1	0	0	0
Merged-chr7-44305476-1	0	1	0	0	0	1	1	0
Merged-chr13-113949883-2	0	0	1	0	0	1	0	0
Merged-chr13-63568066-2	0	0	0	0	0	0	0	0
Merged-chr15-98677531-2	0	0	1	1	0	0	0	0
Merged-chr15-88509201-2	1	0	1	1	0	1	0	0
Merged-chr2-59240185-2	0	0	1	1	0	1	0	0
Merged-chr1-89454704-2	0	0	0	0	0	0	0	0
Merged-chr15-12375788-2	0	0	1	1	0	0	0	0
Merged-chr14-31390031-2	0	1	1	0	0	0	0	1
Merged-chr6-128135214-2	0	1	0	0	0	1	1	0
Merged-chr15-54929526-2	0	0	0	1	1	1	1	1
Merged-chr6-143100218-2	0	1	1	1	0	0	1	0
Merged-chr8-105340037-2	1	0	1	1	0	1	0	0
Merged-chr9-95750365-2	0	1	0	1	0	0	1	0
Merged-chr9-61946882-2	0	0	0	1	0	0	0	0
Merged-chr4-101155728-2	1	0	1	1	1	0	1	0
Merged-chr13-89383937-2	0	1	0	0	1	1	0	0
Merged-chr12-103341407-2	1	1	1	1	0	1	0	0
Merged-chr10-62231272-2	1	0	0	0	0	0	0	0
Merged-chr6-29474018-2	0	0	1	0	0	1	0	0
Merged-chr18-78142860-2	0	1	1	1	1	0	1	0
Merged-chr1-136135251-2	0	1	1	1	0	1	1	0
Merged-chr14-20731450-2	0	1	1	1	1	0	1	0
Merged-chr10-91138463-2	1	0	1	1	0	1	0	0
Merged-chr16-73875178-2	0	1	1	1	1	1	1	0
Merged-chr8-117482013-2	0	1	1	1	0	1	0	0
Merged-chr17-67354590-2	0	0	0	0	0	1	0	0
Merged-chr15-73724735-2	0	0	1	0	0	1	1	0
Merged-chr3-127409046-2	0	1	1	1	0	1	0	0
Merged-chr12-38778727-2	0	0	0	1	0	1	0	0
Merged-chr15-13393478-2	0	0	0	1	1	1	1	0
Merged-chr1-123934548-2	1	0	1	1	1	1	1	1
Merged-chr13-89384897-2	0	0	1	0	1	0	0	0
Merged-chr11-101171492-2	0	0	1	0	1	0	1	0
Merged-chr3-105825833-2	1	0	0	1	0	0	0	0
Merged-chr4-106911445-2	0	0	0	0	0	0	0	0
Merged-chr12-38788791-2	1	1	1	1	0	1	0	0
Merged-chr12-84617447-2	0	0	0	1	0	1	0	0
Merged-chr13-42829151-2	0	0	1	1	1	1	1	0
Merged-chr9-106438365-2	0	0	0	1	0	1	0	0
Merged-chr15-97784327-2	0	1	0	0	0	1	0	0
Merged-chr6-145276367-2	1	1	1	0	0	1	1	0
Merged-chr9-20892188-2	0	0	0	1	1	1	1	0
Merged-chr8-94183355-2	0	0	0	0	0	0	0	0
Merged-chr1-9548066-2	0	1	1	1	0	1	1	0
Merged-chr10-77314901-2	0	1	1	1	1	1	0	0
Merged-chr13-49198951-2	0	0	1	0	1	0	1	0
Merged-chr10-70243289-2	0	0	0	1	1	1	1	0
Merged-chr13-30749210-2	0	1	1	1	1	0	1	0
Merged-chr17-67305058-2	1	0	1	1	0	1	0	0
Merged-chr12-70227739-2	0	0	0	1	0	1	1	0
Merged-chr2-72852703-2	1	0	1	0	0	0	1	0
Merged-chr13-74009382-2	0	0	1	0	0	0	0	0
Merged-chr5-19666665-2	1	0	1	1	1	0	1	0
Merged-chr16-58477801-2	1	1	1	0	1	1	1	0
Merged-chr16-17694922-2	0	0	1	1	0	1	0	1
Merged-chr3-148959528-2	0	1	0	1	1	1	0	0
Merged-chr12-46819520-2	0	0	0	0	0	0	0	0
Merged-chr1-72413478-2	0	1	1	1	1	1	0	0
Merged-chr4-99163749-2	1	1	0	1	1	0	1	0
Merged-chr6-5093843-2	0	1	1	1	0	1	0	0
Merged-chr8-103577317-1	0	0	1	1	0	1	1	0
Merged-chr19-28918000-2	1	1	1	1	0	1	1	1
Merged-chr7-19327305-2	1	1	1	0	0	1	1	0
Merged-chr13-89339997-1	0	1	1	1	0	1	1	0
Merged-chr3-55354227-2	1	1	1	1	0	0	0	0
Merged-chr6-42382261-2	1	0	1	1	0	0	1	0
Merged-chr19-6341106-2	0	0	0	0	0	0	1	0
Merged-chr15-11716334-2	1	1	1	1	1	0	1	0
Merged-chr13-54071772-2	0	0	1	1	0	0	0	0
Merged-chr3-145692230-1	1	1	1	1	1	0	1	0
Merged-chr6-90462522-1	0	0	1	0	0	0	1	0
Merged-chr15-81802555-2	0	0	1	1	1	0	1	0
Merged-chr8-108911058-2	0	0	0	1	1	1	0	0
Merged-chr12-91736435-2	0	0	1	1	1	1	0	0
