PeakID (cmd=annotatePeaks.pl /home/ttroutman/2020_seidman_troutman_sakai_etal/intersect_ATAC_H3K27ac_RNA_20191027/mergePeaks_C57_NoTx_Tim4Pos20wkNASH.txt mm10 -d /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ -size 1000) (cmd=getDiffExpression.pl /home/psaisan/MCAT/KC-H_KC_N_H3k27ac_at_peaks_w1000.txt WT WT KO KO -log2fold 1 -raw)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ Tag Count in 1000 bp (9468035.0 Total, normalization factor = 1.06, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ Tag Count in 1000 bp (22615879.0 Total, normalization factor = 0.44, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ Tag Count in 1000 bp (18749728.0 Total, normalization factor = 0.53, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ Tag Count in 1000 bp (19231109.0 Total, normalization factor = 0.52, effective total = 10000000)	WT vs. KO Log2 Fold Change	WT vs. KO p-value	WT vs. KO adj. p-value
Merged-chr1-35995388-2	chr1	35995288	35995488	+	25.25	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	MTD|LTR|ERVL-MaLR	-73012.0	NM_015818	50785.0	Mm.213566	NM_015818	ENSMUSG00000045216	Hs6st1	6Ost1	heparan sulfate 6-O-sulfotransferase 1	protein-coding	36.97	39.35	6.93	6.76	-2.19793269222066	0.0006740652981798	0.008476731037793
Merged-chr15-99126336-1	chr15	99126236	99126436	+	11.1	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	promoter-TSS (NM_139140)	promoter-TSS (NM_139140)	-509.0	NM_139140	72572.0	Mm.276650	NM_139140	ENSMUSG00000051934	Spats2	2700012F11Rik|59kDa|Scr59|p59	spermatogenesis associated, serine-rich 2	protein-coding	170.05	88.43	32.0	31.2	-1.77473610829708	4.69503997320188e-06	0.0001399995295606
Merged-chr18-36348648-2	chr18	36348548	36348748	+	58.799999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	promoter-TSS (NM_001081365)	promoter-TSS (NM_001081365)	24.0	NM_001081365	66060.0	Mm.272527	NM_001081365	ENSMUSG00000046727	Cystm1	0610010O12Rik	cysteine-rich transmembrane module containing 1	protein-coding	146.81	114.96	49.6	37.96	-1.33037301178649	6.52394300104058e-05	0.001281532974006
Merged-chr11-94760498-2	chr11	94760398	94760598	+	21.15	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001105561, intron 1 of 4)	intron (NM_001105561, intron 1 of 4)	684.0	NM_001105561	217122.0	Mm.24063	NM_183153		Gm11545	A430060F13Rik|C86086	predicted gene 11545	protein-coding	192.23	190.57	49.6	70.72	-1.4085946722867	3.41519408450797e-06	0.0001060318176253
Merged-chr16-21947574-2	chr16	21947474	21947674	+	48.699997	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	promoter-TSS (NM_025693)	promoter-TSS (NM_025693)	-22.0	NR_037773	66664.0	Mm.46480	NM_025693	ENSMUSG00000022856	Tmem41a	2900010K02Rik|5730578N08Rik	transmembrane protein 41a	protein-coding	31.69	30.51	5.33	9.36	-1.91428209836287	0.0052045149818874	0.0418691793780653
Merged-chr8-108995135-1	chr8	108995035	108995235	+	10.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	Intergenic	58275.0	NR_037295	100526511.0		NR_037295	ENSMUSG00000093241	Mir3108	mir-3108|mmu-mir-3108	microRNA 3108	ncRNA	72.88	87.11	31.47	16.64	-1.51010729983455	0.0004534844004716	0.0061669414825804
Merged-chr5-76705591-1	chr5	76705491	76705691	+	29.799999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	ORR1F|LTR|ERVL-MaLR	113877.0	NM_199032	381644.0	Mm.332452	NM_199032	ENSMUSG00000036403	Cep135	BC062951|Cep4|Gm1044	centrosomal protein 135	protein-coding	74.99	53.06	10.13	6.24	-2.75601367851755	1.02953480615542e-06	3.82708623938377e-05
Merged-chr9-95637602-2	chr9	95637502	95637702	+	16.4	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	promoter-TSS (NM_029620)	promoter-TSS (NM_029620)	-26.0	NM_029620	76477.0	Mm.46016	NM_029620	ENSMUSG00000015354	Pcolce2	2400001O18Rik|Pcpe2	procollagen C-endopeptidase enhancer 2	protein-coding	159.48	151.22	37.87	35.88	-1.82238572059465	2.31069763559625e-08	1.41736629704803e-06
Merged-chr10-116727513-1	chr10	116727413	116727613	+	13.2	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NR_045345, intron 1 of 2)	intron (NR_045345, intron 1 of 2)	1664.0	NR_045345	72286.0	Mm.396207	NR_045345	ENSMUSG00000100198	1700030O20Rik	-	RIKEN cDNA 1700030O20 gene	ncRNA	52.81	52.62	19.2	6.76	-1.80289613086134	0.000919411046717	0.0108790099526611
Merged-chr17-67263126-2	chr17	67263026	67263226	+	13.45	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001357625, intron 1 of 32)	intron (NM_001357625, intron 1 of 32)	91333.0	NM_008984	19274.0	Mm.311809	NM_008984	ENSMUSG00000033278	Ptprm	RPTPmu|mKIAA4044	protein tyrosine phosphatase, receptor type, M	protein-coding	64.43	44.22	12.27	11.44	-1.98044167315425	0.0002291658263339	0.0035804537977053
Merged-chr15-97787562-2	chr15	97787462	97787662	+	15.0	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_026353, intron 1 of 2)	intron (NM_026353, intron 1 of 2)	3197.0	NM_026353	67739.0	Mm.28955	NM_026353	ENSMUSG00000081534	Slc48a1	4930570C03Rik	solute carrier family 48 (heme transporter), member 1	protein-coding	134.14	142.82	53.87	36.4	-1.38863763162025	2.73334330952753e-05	0.0006249318842472
Merged-chr14-48459104-2	chr14	48459004	48459204	+	48.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001310584, intron 4 of 16)	intron (NM_001310584, intron 4 of 16)	12752.0	NR_132324	218989.0	Mm.85211	NM_172600	ENSMUSG00000036339	Tmem260	5930435P15|6720456H20Rik	transmembrane protein 260	protein-coding	115.12	126.9	28.8	26.0	-1.89793764091185	2.55101472912379e-07	1.14395464982122e-05
Merged-chr5-115510132-1	chr5	115510032	115510232	+	8.61	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_011223, intron 1 of 10)	intron (NM_011223, intron 1 of 10)	3456.0	NM_011223	19303.0	Mm.18714	NM_011223	ENSMUSG00000029528	Pxn	AW108311|AW123232|Pax	paxillin	protein-coding	106.67	83.13	35.73	26.52	-1.34898116519932	0.0003984838645995	0.0055423833200192
Merged-chr3-153566324-2	chr3	153566224	153566424	+	22.799999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_011372, intron 1 of 4)	Lx8b|LINE|L1	158809.0	NM_011372	20447.0	Mm.296453	NM_011372	ENSMUSG00000052544	St6galnac3	Siat7c	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	protein-coding	57.03	70.75	4.27	2.6	-3.95753733233168	1.93681976953809e-08	1.22426841794103e-06
Merged-chr11-35708629-1	chr11	35708529	35708729	+	17.799999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	TTS (NM_011412)	TTS (NM_011412)	-60866.0	NM_145962	211347.0	Mm.255044	NM_145962	ENSMUSG00000018846	Pank3	-	pantothenate kinase 3	protein-coding	25.35	19.01	3.2	1.56	-2.89316453309757	0.002335370057636	0.0226347951118168
Merged-chr13-42527112-2	chr13	42527012	42527212	+	56.549999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-153687.0	NM_001302635	218194.0	Mm.160124	NM_198419	ENSMUSG00000054728	Phactr1	9630030F18Rik|Rpel1	phosphatase and actin regulator 1	protein-coding	82.38	81.36	37.33	26.52	-1.11140427841962	0.0044368615866082	0.0370896647299056
Merged-chr12-111843655-2	chr12	111843555	111843755	+	12.715	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	exon (NM_011625, exon 7 of 17)	exon (NM_011625, exon 7 of 17)	29485.0	NM_026752	68520.0	Mm.390497	NM_026752	ENSMUSG00000021286	Zfyve21	1110013H04Rik|AW558780|C85416	zinc finger, FYVE domain containing 21	protein-coding	65.48	75.61	19.73	20.28	-1.57689127791531	0.0004094651213865	0.0056720058722125
Merged-chrX-61722692-1	chrX	61722592	61722792	+	27.1	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	Intergenic	13076.0	NM_001018087	434784.0	Mm.23468	NM_001018087	ENSMUSG00000057615	Ldoc1	Gm366|Mar7|Mart7|Rtl7|Sirh7	regulator of NFKB signaling	protein-coding	107.73	92.86	0.53	2.6	-5.40089568114506	2.6605476309946296e-11	3.83085849587407e-09
Merged-chr7-19506570-1	chr7	19506470	19506670	+	14.1	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	3' UTR (NM_177692, exon 2 of 2)	3' UTR (NM_177692, exon 2 of 2)	1761.0	NM_177692	232946.0	Mm.64557	NM_177692	ENSMUSG00000057667	Bloc1s3	BC043666|Blos3|E230011O18|rp	biogenesis of lysosomal organelles complex-1, subunit 3	protein-coding	44.36	49.08	16.53	10.4	-1.55354415135339	0.00402136090162	0.0344576947782493
Merged-chr11-53519826-2	chr11	53519726	53519926	+	21.799999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	promoter-TSS (NM_001252332)	promoter-TSS (NM_001252332)	90.0	NM_001361968	20362.0	Mm.274399	NM_033144	ENSMUSG00000018398	Sept8	AW046166|Sepl	septin 8	protein-coding	103.51	59.25	25.07	14.04	-1.81846898118454	7.99750798543018e-05	0.0015145933285592
Merged-chr16-20412786-1	chr16	20412686	20412886	+	12.3	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_176839, intron 2 of 6)	intron (NM_176839, intron 2 of 6)	13608.0	NM_176839	27416.0	Mm.20845	NM_013790	ENSMUSG00000022822	Abcc5	2900011L11Rik|AI132311|Abcc5a|Abcc5b|Mrp5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	protein-coding	39.08	35.82	6.93	8.32	-2.07379781302042	0.0011603660374318	0.0130946246701784
Merged-chr11-116626630-1	chr11	116626530	116626730	+	12.6	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_172572, intron 1 of 18)	intron (NM_172572, intron 1 of 18)	389.0	NM_172572	217344.0	Mm.89695	NM_172572	ENSMUSG00000020806	Rhbdf2	4732465I17Rik|Rhbdl6|cub	rhomboid 5 homolog 2	protein-coding	108.79	90.2	40.53	33.8	-1.16339412680354	0.0012596990737329	0.013957715896792
Merged-chr11-9337374-2	chr11	9337274	9337474	+	32.650002	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_178259, intron 27 of 61)	intron (NM_178259, intron 27 of 61)	145432.0	NM_178259	268379.0	Mm.39270	NM_178259	ENSMUSG00000004668	Abca13	9830132L24|A930002G16Rik|AI956815	ATP-binding cassette, sub-family A (ABC1), member 13	protein-coding	74.99	85.34	21.33	34.32	-1.28742900927986	0.002326666914742	0.0225647367434931
Merged-chr11-63788028-1	chr11	63787928	63788128	+	9.22	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	Intergenic	134256.0	NM_018805	54710.0	Mm.274426	NM_018805	ENSMUSG00000070407	Hs3st3b1	3-OST-3B|3OST3B1|3Ost3b|AU041882|AW536289|Hs3st3b|m3-OST-3B	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	protein-coding	57.03	56.6	6.93	10.4	-2.49597502458121	9.77688631363868e-06	0.0002615598811071
Merged-chr7-125546564-1	chr7	125546464	125546664	+	12.6	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	L1MC|LINE|L1	-5718.0	NM_001008700	16190.0	Mm.233802	NM_010557	ENSMUSG00000030748	Il4ra	CD124|Il4r	interleukin 4 receptor, alpha	protein-coding	30.63	30.51	3.2	7.8	-2.23481797839361	0.0023463760161024	0.0227224901679531
Merged-chr6-54039600-1	chr6	54039500	54039700	+	10.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	promoter-TSS (NM_001163640)	promoter-TSS (NM_001163640)	-332.0	NM_001163640	69993.0	Mm.321147	NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding	64.43	40.68	6.93	11.96	-2.20230608699918	0.0001333337565742	0.0023143756783523
Merged-chr2-159646794-2	chr2	159646694	159646894	+	20.599998	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-300547.0	NR_040498	71081.0	Mm.383491	NR_040498	ENSMUSG00000085198	4933416E03Rik	-	RIKEN cDNA 4933416E03 gene	ncRNA	32.74	22.99	1.6	8.32	-2.21111762880108	0.0049342612632915	0.0402851721834533
