PeakID (cmd=annotatePeaks.pl /home/ttroutman/2020_seidman_troutman_sakai_etal/intersect_ATAC_H3K27ac_RNA_20191027/mergePeaks_C57_NoTx_Tim4Pos20wkNASH.txt mm10 -d /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ -size 1000) (cmd=getDiffExpression.pl /home/psaisan/MCAT/KC-H_KC_N_H3k27ac_at_peaks_w1000.txt WT WT KO KO -log2fold 1 -raw)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ Tag Count in 1000 bp (9468035.0 Total, normalization factor = 1.06, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ Tag Count in 1000 bp (22615879.0 Total, normalization factor = 0.44, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ Tag Count in 1000 bp (18749728.0 Total, normalization factor = 0.53, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ Tag Count in 1000 bp (19231109.0 Total, normalization factor = 0.52, effective total = 10000000)	WT vs. KO Log2 Fold Change	WT vs. KO p-value	WT vs. KO adj. p-value
Merged-chr19-29380736-2	chr19	29380636	29380836	+	25.75	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_021893, intron 4 of 6)	intron (NM_021893, intron 4 of 6)	13298.0	NM_021893	60533.0	Mm.245363	NM_021893	ENSMUSG00000016496	Cd274	A530045L16Rik|B7h1|Pdcd1l1|Pdcd1lg1|Pdl1	CD274 antigen	protein-coding	46.47	31.39	108.27	73.32	1.47365488776129	8.22609070665848e-05	0.0015507971586591
Merged-chr13-73469742-1	chr13	73469642	73469842	+	22.1	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_145376, intron 1 of 13)	intron (NM_145376, intron 1 of 13)	2359.0	NM_145376	210992.0	Mm.284649	NM_145376	ENSMUSG00000021608	Lpcat1	2900035H07Rik|Aytl2|BB137372|BC005662|C87117|LPCAT|rd11	lysophosphatidylcholine acyltransferase 1	protein-coding	23.24	14.59	67.2	44.2	1.78625603187248	0.0001797148621664	0.0029483501009136
Merged-chr19-21274345-2	chr19	21274245	21274445	+	88.25	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_009551, intron 1 of 5)	intron (NM_009551, intron 1 of 5)	2067.0	NM_009551	22682.0	Mm.292405	NM_009551	ENSMUSG00000024750	Zfand5	2310057A04Rik|5830475F03Rik|AA415485|Za20d2|Zfp216	zinc finger, AN1-type domain 5	protein-coding	207.01	246.73	433.07	418.07	1.14694708606903	8.77346935866968e-08	4.60305702057437e-06
Merged-chr2-83705991-1	chr2	83705891	83706091	+	27.4	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	RMER6B|LTR|ERVK	-18406.0	NM_008402	16410.0	Mm.227	NM_008402	ENSMUSG00000027087	Itgav	1110004F14Rik|2610028E01Rik|CD51|D430040G12Rik	integrin alpha V	protein-coding	20.07	17.69	78.4	89.44	2.38746101293029	1.63011441225287e-08	1.0616234455645e-06
Merged-chr4-154964428-2	chr4	154964328	154964528	+	20.1	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_172990, intron 1 of 18)	CpG	305.0	NM_172990	269614.0	Mm.30042	NM_172990	ENSMUSG00000029056	Pank4	D030031I12Rik|R75150	pantothenate kinase 4	protein-coding	92.94	63.67	139.74	129.48	1.02726013978562	0.0005702133227233	0.0073996421914629
Merged-chr7-117428829-1	chr7	117428729	117428929	+	21.200001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_175645, intron 1 of 11)	intron (NM_175645, intron 1 of 11)	47850.0	NM_175645	233781.0	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding	2.11	3.98	33.6	52.0	4.09657155382954	1.57288692819595e-07	7.58055729089918e-06
Merged-chr7-35396934-2	chr7	35396834	35397034	+	109.050003	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	promoter-TSS (NM_178643)	promoter-TSS (NM_178643)	-129.0	NR_153799	72140.0	Mm.133263	NM_028120	ENSMUSG00000023072	Cep89	2610507L03Rik|Ccdc123	centrosomal protein 89	protein-coding	24.29	26.09	57.07	50.96	1.35193440638805	0.0022402344176091	0.0219214304469826
Merged-chr11-8660070-2	chr11	8659970	8660170	+	12.215	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001083587, intron 1 of 30)	intron (NM_001083587, intron 1 of 30)	4465.0	NM_001083587	319939.0	Mm.337820	NM_001083587	ENSMUSG00000020422	Tns3	BC023928|F830010I22Rik|TEM6|Tens1	tensin 3	protein-coding	29.57	15.92	51.2	47.32	1.34515372458126	0.0046792496627454	0.0386784644131243
Merged-chr3-79525211-2	chr3	79525111	79525311	+	20.549999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001162999, intron 1 of 16)	intron (NM_001162999, intron 1 of 16)	42468.0	NM_001162999	329679.0	Mm.244005	NM_001162999	ENSMUSG00000061175	Fnip2	D630023B12Rik|mKIAA1450	folliculin interacting protein 2	protein-coding	40.14	27.86	56.53	71.24	1.17140717558641	0.0045557037829145	0.0379056242344684
Merged-chr11-97825439-1	chr11	97825339	97825539	+	19.700001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_010688, intron 4 of 6)	intron (NM_010688, intron 4 of 6)	-15341.0	NM_001080935	68127.0	Mm.110270	NM_001080935	ENSMUSG00000050538	B230217C12Rik	AI840637	RIKEN cDNA B230217C12 gene	protein-coding	5.28	1.77	38.4	33.8	3.61270374507677	2.17863249373657e-06	7.21984624294987e-05
